identifiant,nom,description,contexte,exemples,ressources,points,pourcentage,categorie,reductionPotentiel,perimetreEvaluation,desactivation,desactivationDesc,score,scoreDesc,reduction,reductionDesc,personnalisationQuestions,indicateurs,exprScore,Coremeasure
6.4.2.1,"Sensibiliser élus, services et acteurs du territoire aux enjeux liés à la forêt et aux espaces boisés",,,,,,10,bases,,,,,,,,,,,,
6.4.2.1.1,"Sensibiliser les élus et services de la collectivité et les particuliers à la gestion durable de la forêt et à l’utilisation du bois énergie sur le territoire, de façon complémentaire aux usages matériaux",Sensibilisation notamment aux leviers forestiers d’atténuation du changement climatique : séquestration carbone en forêt et production durable de bois pour les usages bois matériau et bois énergie,,,,,,,,,,,,,,,,,,
6.4.2.1.2,"Sensibiliser les élus à l’utilisation du bois matériau, notamment à l’utilisation du bois dans la construction",,,,,,,,,,,,,,,,,,,
6.4.2.1.3,Sensibilises élus à l’utilisation optimale du bois,"par exemple : complémentarité des filières, principe d’utilisation de bois en cascade, utilisation du bois local filières courtes (ex : marques type bois des Alpes, bois des Territoires du Massif Central, ...)",,,,,,,,,,,,,,,,,,
6.4.2.1.4,Sensibiliser les élus à la lutte contre la déforestation importée,,,,,,,,,,,,,,,,,,,
6.4.2.2,Lutter contre la déforestation importée,,,,,,10,bases,,,,,,,,,,,,
6.4.2.2.1,Etre attentif à la provenance du bois pour ses fournitures,Par exemple le mobilier dont le bois doit provenir de forêt locales et gérées durablement,,,,,,,,,,,,,,,,,,
6.4.2.2.2,"Dresser une liste des produits alimentaires dont la production est cause de déforestation (par exemple : soja, huile de palme, bœuf et ses coproduits, cacao, hévéa) et contrôler leur provenance et les méthodes de production lorsqu’ils sont utilisés pour la restauration publique","S’ils ne proviennent pas de cultures durables, ils sont limités voire interdits.",,,,,,,,,,,,,,,,,,
6.4.2.3,"Réaliser des diagnostics, connaître les enjeux liés à la forêt et aux espaces boisés sur son territoire",,,,,,15,bases,,,,,,,,,,,,
6.4.2.3.1,"Réaliser un diagnostic pour identifier les attentes, les besoins, les pratiques et la nature des activités forestières, y compris pour leur adaptation au changement climatique",,,,,,,,,,,,,,,,,,,
6.4.2.3.2,Réaliser un diagnostic de la forêt,"Inclure dans le diagostic les surfaces par typologie des forêts, les stocks de carbone et la séquestration de carbone par la forêt, le taux des prélèvements, la répartition de la récolte entre les différents usages du bois, de ses usages et de ses acteurs sur le territoire.",,,,,,,,,,,,,,,,,,
6.4.2.3.3,Etudier les différents potentiels de la forêt et des espaces boisés dans le cadre d’une démarche territoriale concertée,ex : élaboration d’une charte concertée de territoire,,,,,,,,,,,,,,,,,,
6.4.2.4,Formaliser sa stratégie dans des documents de planification dédiés à la forêt et dans les documents d’urbanisme,,,,,,10,mise en œuvre,,,,,,,,,,,,
6.4.2.4.1,La collectivité met en œuvre avec les acteurs du territoire un plan de préservation et de valorisation de la forêt,"Doit porter sur:

o la gestion et la préservation des zones forestières ;

o le développement de la diversité biologique, la protection des ressources hydriques, des sols et paysages ;

o la préservation de la vitalité et de la capacité de régénération dans un contexte de changement climatique ;

o le développement des documents de gestion;

o l’évaluation des ressources en bois pour le développement des filières ;

o la régulation des usages de la forêt (ex : la canalisation du public sur les chemins, la prescription des loisirs motorisés,..) ;

o l’évaluation des actions permettant d’optimiser la contribution de la forêt et le bois à l’atténuation du changement climatique tout en favorisant l’adaptation au changement climatique.

o Des indicateurs concernant par exemple la vulnérabilité, la séquestration carbone, le taux de prélèvements et la répartition de la récolte entre les différents usages du bois, la contribution de la forêt.",,,,,,,,,,,,,,,,,,
6.4.2.4.2,"Prendre en compte les zones boisées dans les documents d’urbanisme (zonage approprié, espaces boisés classés, éléments remarquables à protéger et repérés dans les documents graphiques)",,,,,,,,,,,,,,,,,,,
6.4.2.4.3,"Articuler sa stratégie avec les politiques locales de développement (Chartes de Pays, etc.) et les autres dispositifs de gestion forestière (schémas régionaux de gestion forestière, plan de développement de massif) en co-construction avec les acteurs locaux concernés (ex : les Chartes forestières)",,,,,,,,,,,,,,,,,,,
6.4.2.4.4,Pérenniser un pilotage multi-partenarial de la politique de préservation et de valorisation de la forêt,,,,,,,,,,,,,,,,,,,
6.4.2.5,Mettre en place les actions définies dans le plan de préservation et valorisation de la forêt permettant une mobilisation durable de bois et un renforcement durable des puits de carbone dans les forêts (biomasse et sols),"Si peu de ressource bois expoitable sur le territoire, les 30% concernant le développement des filières bois-contruction et bois-énergie sont à reporter vers les actions de préservation et lutte contre la déforestation importée",,,,,15,mise en œuvre,,,,,,,,,,,,
6.4.2.5.1,Protéger les forêts de l’artificialisation des sols et favoriser la restauration des forêts impactées par des évènements extrêmes,,,,,,,,,,,,,,,,,,,
6.4.2.5.2,Favoriser le regroupement forestier,,,,,,,,,,,,,,,,,,,
6.4.2.5.3,Mettre en place des actions pour favoriser l’élaboration des documents de gestion ciblant une production de bois de qualité et encourageant des pratiques sylvicoles comme la conversion des taillis en futaies ; l’amélioration sylvicole des accrus forestiers et en raisonnant les pratiques pouvant avoir des impacts négatifs sur les stocks de carbone du sol,"Par exemple : coupes rases associées à un travail du sol, récolte accrue des rémanents, et tout particulièrement les souches...",,,,,,,,,,,,,,,,,,
6.4.2.5.4,"Mettre en place des mesures pour favoriser la séquestration de carbone dans les forêts et les espaces boisés (ex : îlots de sénescence, arbres morts...).",,,,,,,,,,,,,,,,,,,
6.4.2.5.5,"Mettre en place des actions favorisant l’utilisation optimale du bois (tri du bois, chantiers groupés).",,,,,,,,,,,,,,,,,,,
6.4.2.6,"Prendre en charge, promouvoir et soutenir le développement d’une filière bois-construction locale et à haute performance environnementale",,,,,,15,mise en œuvre,,,,,,,,,,,,
6.4.2.6.1,Soutenir la structuration et l’optimisation de la filière bois,"par exemple : création de plateforme de séchage et de stockage destinées en priorité à un usage local, espaces/groupes de discussion entre acteurs, création d'association, de SEM ou de SCIC, label pour le bois local...",,,,,,,,,,,,,,,,,,
6.4.2.6.2,Engager une opération de construction / rénovation bois en adaptant les spécifications techniques aux caractéristiques du bois local,,,,,,,,,,,,,,,,,,,
6.4.2.6.3,Accompagner les acteurs de la filière bois du territoire pour pénétrer le marché de la construction bois sur le territoire et au-delà,,,,,,,,,,,,,,,,,,,
6.4.2.6.4,"Porter des actions d’augmentation de la demande, notamment des actions de communication (et de formation) vers les constructeurs de bâtiment, les architectes et maîtres d’œuvre, les particuliers qui font construire",,,,,,,,,,,,,,,,,,,
6.4.2.7,"Prendre en charge, promouvoir et soutenir le développement d’une filière bois-énergie à haute performance environnementale",,,,,,15,mise en œuvre,,,,,,,,,,,,
6.4.2.7.1,"Accompagner le développement d’une offre et d’une demande collective en bois-énergie sur le territoire adapté aux ressources disponibles dans le territoire (réflexion globale et complémentaire avec la filière bois-construction, utilisation de la ressource bocagère…) ; puis développer et sécuriser la filière d’approvisionnement bois-énergie locale en s’appuyant sur la complémentarité des filières et le principe d’utilisation de bois en cascade.",,,,,,,,,,,,,,,,,,,
6.4.2.7.2,Participer à une filière bois énergie sur un bassin plus vaste (selon la ressource en bois disponible sur son territoire),,,,,,,,,,,,,,,,,,,
6.4.2.8,Suivre et atteindre ses objectifs en matière de forêt et d’espaces boisés,,,,,,10,effets,,,,,,,,,,,,
6.4.2.8.1,Connaître le % de surfaces forestières certifiées,Objectif >70% pour les forêts communales et >20% pour les forêts privées.,,,,,,,,,,,,,,,,,,
6.4.2.8.2,Suivre la séquestration carbone de la forêt et d’autres indicateurs,Par exemple taux de récolte commercialisé...,,,,,,,,,,,,,,,,,,
6.5,Société civile,,,,,,,,,,,,,,,,,,,
6.5.1,Mobiliser la société civile en développant la concertation,"La collectivité mobilise les citoyens dans le processus de décision et organise, en collaboration avec le service public concerné, des groupes de travail et des dispositifs participatifs variés relatifs aux projets climat-air-énergie. La concertation peut être aussi bien menée en phase de diagnostic que lors de la construction du programme d’actions ou de sa mise œuvre.","**Contexte et enjeux**

L’élaboration d’une politique climat air énergie ne peut se limiter à un travail de « chambre » réalisé par les services et les élus. La construction collective de cette politique permet de susciter l’intérêt et la motivation des habitants et acteurs du territoire. Elle permet également une bonne adéquation entre le contexte et le projet, son appropriation par les acteurs, leur responsabilisation et l’initiative individuelle. Ainsi la réussite d’une démarche climat air énergie est intimement conditionnée au degré d’engagement des acteurs socio-économiques et des habitants dans la démarche. En parallèle d’une dynamique interne de management de projet, il faut donc définir une organisation et se doter de moyens adéquats pour la concertation et la construction collective de la politique climat air énergie.

**Réglementation**

Ordonnance du 19 juillet 2017 sur le droit d'initiative citoyenne

Décret du 28 juin 2016 relatif au plan climat air énergie territorial :

● Art. R.229-51 – IV : « Le dispositif de suivi et d'évaluation porte sur la réalisation des actions et le pilotage adopté. Il décrit les indicateurs à suivre au regard des objectifs fixés et des actions à conduire et les modalités suivant lesquelles ces indicateurs s'articulent avec ceux du schéma régional prévu à l’article L.222-1 ainsi qu’aux articles L. 4433-7 et L. 4251-1 du code général des collectivités territoriales. Après trois mois d’application, la mise en œuvre du plan climat-air-énergie fait l’objet d’un rapport mis à la disposition du public ».

● Art. R. 229-53 « la collectivité ou l’établissement public qui s’engage dans un PCAET définit ses modalités de concertation et en informe :

-   Le préfet, le préfet de région, le président du conseil départemental et le président du conseil régional ;
    
-   Les maires des communes concernées ;
    
-   Les représentants des autorités organisatrices (…) mentionnées à l’article L.2224-31 du code général des collectivités territoriales présentes sur son territoire ;
    
-   Le président de l’autorité ayant réalisé le schéma de cohérence territoriale le cas échéant ;
    
-   Les présidents des organismes consulaires compétents sur son territoire ;
    
-   Les gestionnaires de réseaux d’énergie présents sur son territoire. »
    

Code de l’urbanisme, L.103-2 concernant les projets d’aménagement et la loi SRU du 13 décembre 2000 élargit le champ d’application : le PLU est soumis obligatoirement à concertation préalable.

Principe de concertation inscrit dans la Charte de l’environnement, 2004 : Ce principe donne droit pour toute personne non seulement « d'accéder aux informations relatives à l'environnement » mais aussi « de participer à l'élaboration des décisions publiques ayant une incidence sur l'environnement ».

Loi « Climat et Résilience » : modification de l’article L141-2 du Code de l’énergie pour mentionner le développement de communautés d'énergie renouvelable et de communautés énergétiques citoyennes.","**Annecy**

Le Club climat

C’est une instance consultative chargée de suivre les actions du Plan Climat et de la politique énergie-climat de la collectivité. Il est constitué d'une soixantaine de membres. Il associe partenaires institutionnels, socio-économiques et associatifs (pour 2/3 des membres) et habitants volontaires (pour 1/3 des membres) qui se répartissent en 3 commissions thématiques :

● La sensibilisation des acteurs et éco-consommation

● La réhabilitation thermique et la construction performante

● Déplacements et mobilité douce

Issu de la société civile, le président a la charge de représenter le Club Climat dans ses relations avec la Ville et d'en animer concrètement le travail. Les travaux du Club Climat ont débuté en 2012.

Plus d’infos sur le blog du Club climat :

[http://www.club-climat.annecy.fr](http://www.club-climat.annecy.fr )

→ Source : dossier de candidature CAP Cit’ergie, 2015

**Echirolles**

Mise en place d’instances de concertation en lien direct avec la politique énergie-climat

La Ville a mis en place en 2015 deux nouvelles instances de concertation : un Comité Consultatif Déplacement et un Comité Consultatif Energie. Les réunions de lancement ont eu lieu fin 2015. Le premier Comité Consultatif Energie a été consacré au mode de fonctionnement du chauffage urbain et de la Compagnie de Chauffage. Il va être associé au travail du schéma directeur énergies et de réflexion sur un service public de l’énergie, engagé par la Métropole. Le Comité Consultatif Déplacement a, quant à lui, commencé à travailler avec les services et les élus sur la mise en place de la généralisation de la limitation de vitesse à 30 km/h pour une Ville apaisée.

Il faut ajouter à ces deux instances de création récente, l’animation du FORUM 21 qui est actif depuis plus de 15 ans. Il est chargé de suivre la mise en œuvre de l’Agenda 21 de la ville, et est consacré régulièrement aux questions air-énergie-climat, comme par exemple celui de février 2018 consacré à l’adaptation au changement climatique.

Les agents du service développement durable sont formés à l’animation.

→ Source : dossier de candidature Cit’ergie, 2016

**Vénissieux**

Évaluation participative du volet énergie de l’Agenda 21

Dans le cadre de l’évaluation de l’Agenda 21 de la Ville (stratégie, enjeux et résultats), une évaluation participative a été réalisée sur le volet énergie. Elle s’est appuyée sur le Conseil Citoyen Développement Humain Durable (CCDHD) qui s’est réuni 6 fois en 2015, afin d’évaluer la politique et les actions menées sur le volet énergie (Mobilité, exemplarité, logement, patrimoine). Cette évaluation participative a été animée par un bureau d’études et a permis de dégager des recommandations qui seront quasiment toutes intégrées dans la révision de l’Agenda 21 de Vénissieux (décision du CoPil DHD de novembre 2015). La participation assidue des membres du conseil citoyen a sans doute été favorisée par le fait que c’est un conseil citoyen qui a formalisé les questions évaluatives. Le témoignage de la conseillère Cit’ergie sur la démarche de consolidation de la politique énergie climat au conseil citoyen a fortement intéressé l’ensemble des membres. Les recommandations du groupe d’évaluation ont été présentées lors d’une délibération sur la révision de l’Agenda 21 courant 2016.

→ Source : dossier de candidature Cit’ergie, 2016","ADEME, 2020 – « La concertation au service de la tarification incitative : associer les usagers »

[https://librairie.ademe.fr/dechets-economie-circulaire/3970-concertation-au-service-de-la-tarification-incitative-associer-les-usagers-la.html#/44-type\_de\_produit-format\_electronique](https://librairie.ademe.fr/dechets-economie-circulaire/3970-concertation-au-service-de-la-tarification-incitative-associer-les-usagers-la.html#/44-type_de_produit-format_electronique)",6,,,"<p>Pas de réduction de potentiel</p>
","L’action est orientée vers la société civile.

Liens avec d’autres actions :

-   Action 6.1.1 : Développer une stratégie partenariale multi-niveaux
    
-   Action 6.1.3 : Développer un plan de communication pour chaque cible du territoire
    
-   Action 6.5.2 : Inciter les citoyens à une consommation responsable, limiter l’emprise de la publicité et mobiliser les relais d’opinion
    

Les dispositifs de concertation répondant au minimum réglementaire (enquête publique standard ou conseils de quartier sans animation particulière sur les thématiques climat-air-énergie) ne sont pas valorisés.

La participation doit être jugée globalement sur le territoire, il faut étudier de quelle manière la collectivité agit de manière complémentaire aux actions des autres acteurs et échelons territoriaux. Il ne s'agit pas de sur-solliciter la population de manière inadaptée.",,,,,,,,,,x
6.5.1.1,Définir une organisation et identifier des axes de travail pour entretenir une culture de la collaboration sur le territoire,,,,,,35,bases,,,,,,,,,,,,
6.5.1.1.1,"Connaître les différents niveaux d’implication des citoyens : l’information, la consultation, la concertation, la co-production, la codécision, l’auto-gestion",,,,,,,,,,,,,,,,,,,
6.5.1.1.2,"Formaliser les « règles du jeu » de la concertation : les objectifs et le pouvoir d’influence des instances sont définis clairement, les droits et les devoirs de chacun (collectivité / citoyens) sont annoncés, par exemple dans une charte",,,,,,,,,,,,,,,,,,,
6.5.1.1.3,"Définir un/des groupes de travail sur des thèmes variés : climat, air, énergie, déchets, eau, assainissement, mobilité…",,,,,,,,,,,,,,,,,,,
6.5.1.1.4,"Institutionnaliser la collaboration entre les habitants et la collectivité sur les thèmes relevant de l'énergie et du climat en définissant un organe participatif et/de concertation ou en se basant sur les groupes de travail déjà existants (qualifier les Conseils de quartier, Conseils de développement, …)",,,,,,,,,,,,,,,,,,,
6.5.1.2,Conduire une concertation régulière et pérenne,,,,,,45,mise en œuvre,,,,,,,,,,,,
6.5.1.2.1,"Animer et mobiliser régulièrement (au moins trois fois par an) les habitants lors d’ateliers thématiques ou autour de projets particuliers (plan vélo, rénovation d’une école, etc.).",,,,,,,,,,,,,,,,,,,
6.5.1.2.2,S'organiser pour faire participer des publics variés en mobilisant des canaux de communication et des formats de concertation variés et adaptés au différents publics,"par exemple : ateliers avec les centres sociaux, avec les Maisons des Jeunes et de la Culture (MJC), mise en place de garderies pour favoriser la participation des jeunes actifs, ...",,,,,,,,,,,,,,,,,,
6.5.1.2.3,Adapter les processus de concertation des habitants au travail collaboratif et à l’expression de la parole de chacun.,"Un travail est conduit pour favoriser l’appropriation des problématiques air-énergie-climat afin que chacun se sente en capacité de s’exprimer (pédagogie des intervenants, production de documents synthétiques et pédagogiques...). Les modes d’animation mises en place favorisent l’écoute des participants.",,,,,,,,,,,,,,,,,,
6.5.1.2.4,"Mettre en place des formats participatifs favorisant les initiatives avec un budget et des moyens dédiés : budget participatifs, appels à projets, etc.",,,,,,,,,,,,,,,,,,,
6.5.1.2.5,"Mobiliser les instances de concertation régulières (conseil de quartier, conseil de développement, ...) pour participer à la construction du PCAET et les tenir informés au moins une fois par an de l’avancée du plan d’actions",,,,,,,,,,,,,,,,,,,
6.5.1.2.6,"Impliquer les citoyens sur des questions concrètes qui les concernent directement (à l’échelle du bâtiment, du quartier par exemple), mais également sur des éléments plus stratégiques (contribution à la « vision » globale du territoire dans une approche de transition énergétique)",,,,,,,,,,,,,,,,,,,
6.5.1.2.7,Allouer des délais et des moyens suffisants aux mécanismes participatifs pour une implication de qualité,,,,,,,,,,,,,,,,,,,
6.5.1.2.8,"Prévoir si nécessaire une expertise externe afin d’animer les séances, de produire des comptes rendus rapidement, de disposer de lieux conviviaux et adaptés, de matériels informatiques et audiovisuels de qualité.",,,,,,,,,,,,,,,,,,,
6.5.1.3,Utiliser les contributions des instances de concertation,Evalué dans la 5.1.4 : Une instance de concertation dédiée à la politique air-énergie-climat ou développement durable est chargée du suivi-évaluation de la politique.,,,,,20,effets,,,,,,,,,,,,
6.5.1.3.1,"Le travail des habitants est reconnu et rendu public (plaquette de synthèse, article de presse...)",,,,,,,,,,,,,,,,,,,
6.5.1.3.2,Faire systématiquement un retour aux instances participatives pour rendre compte des arbitrages faits au regard des contributions et présenter l’avancée des projets.,,,,,,,,,,,,,,,,,,,
6.5.1.3.3,Evaluer de façon régulière les dispositifs de concertation,,,,,,,,,,,,,,,,,,,
6.5.1.3.4,Voter au moins une décision par an par l'organe délibérant de la collectivité issue du travail des groupes de travail,,,,,,,,,,,,,,,,,,,
6.5.2,"Inciter les citoyens et les relais d'opinions à une consommation responsable, limiter l'emprise de la publicité","La collectivité incite les citoyens aux comportements et à la consommation éco-responsables et soutient, sensibilise les relais d'opinion (partis politiques, associations, ONG) pour qu'ils deviennent des modèles d'exemplarité et exercent une influence sur les habitants pour qu'ils agissent en conformité avec la politique climat-air-énergie de la collectivité. Des actions sont en particulier menées pour limiter l’emprise de la publicité.","**Contexte et enjeux**

Chaque produit que nous achetons ou consommons a des impacts sur l’environnement. Nous avons une influence directe et décisive sur ces impacts selon nos façons de consommer. Les collectivités peuvent s’impliquer pour encourager les citoyens à des modes de consommation et des comportements plus responsables. Les consommateurs sont de plus en plus sensibles à la provenance des produits. En favorisant la consommation de produits locaux, on optimisez les déplacements, soutien l’activité locale et vous dynamise le commerce de proximité. Par ailleurs, outre des nuisances visuelles et parfois sonores, les outils publicitaires ont des effets directs et indirects sur l’environnement.

**Réglementation**

**Loi n° 2021-1104 du 22 août 2021 Climat et résilience**

Article 17

I.-Le chapitre Ier du titre VIII du livre V du code de l'environnement est ainsi modifié : 1° La section 1 est complétée par un article L. 581-3-1 ainsi rédigé :

« Art. L. 581-3-1.-Les compétences en matière de police de la publicité sont exercées par le maire au nom de la commune. « Les compétences mentionnées au premier alinéa peuvent être transférées au président de l'établissement public de coopération intercommunale dans les conditions et selon les modalités prévues à l'article L. 5211-9-2 du code général des collectivités territoriales. ».

Article 18

Le chapitre Ier du titre VIII du livre V du code de l'environnement est ainsi modifié :

1° La sous-section 4 de la section 2 est complétée par un article L. 581-14-4 ainsi rédigé :

« Art. L. 581-14-4.-Par dérogation à l'article L. 581-2, le règlement local de publicité peut prévoir que les publicités lumineuses et les enseignes lumineuses situées à l'intérieur des vitrines ou des baies d'un local à usage commercial qui n'est pas principalement utilisé comme un support de publicité et destinées à être visibles d'une voie ouverte à la circulation publique respectent des prescriptions qu'il définit en matière d'horaires d'extinction, de surface, de consommation énergétique et de prévention des nuisances lumineuses.

Article 21

I. - A titre expérimental et pour une durée de trois ans, la distribution à domicile d'imprimés en plastique, en papier ou cartonnés à visée commerciale non adressés, lorsque l'autorisation de les recevoir ne fait pas l'objet d'une mention expresse et visible sur la boîte aux lettres ou le réceptacle du courrier, est interdite. (…) La liste de ces collectivités et groupements, dont le nombre ne doit pas excéder quinze et dont la population totale ne doit pas excéder 10 % de la population française totale, est définie par décret, sur la base des candidatures exprimées.

Décret n° 2012-118 du 30 janvier 2012 relatif à la publicité extérieure, aux enseignes et aux pré-enseignes.","**Besançon**

**150 « Familles actives pour le Climat »** mobilisées pour modifier leurs comportements dans 4 domaines : énergie dans l’habitat, gestion des déchets, mobilité et qualité de l’air intérieur.

→ Source : dossier de candidature Cit’ergie Gold, 2016 + recueil BP Cit’ergie

**Grand Lyon** (FBP Cit’ergie)

**Lyon Confluence : quartier exemplaire en matière d’efficience énergétique :** affichage des consommations dans le cadre de l'éco rénovation du quartier Perrache (Conso Tab) ou encore le Community Management System, un système de gestion et de pilotage global des données énergétiques du démonstrateur - notamment la production d'énergie renouvelable, les usages, les conditions climatiques - pour faciliter la gestion globale de l'énergie au niveau du quartier.

→ Source : dossier de candidature Cit’ergie, 2014 + recueil BP Cit’ergie

**Communauté d’Agglomération Chalon-sur-Saône** (FBP Cit’ergie)

Education et sensibilisation au développement durable :

-   Environ 50 évènements sont effectués sur une année (3 750 personnes touchées en 2015).
    
-   co-animation avec l’Espace Info Energie du Défi Famille à énergie positive
    

→ Source : dossier de candidature CAP Cit’ergie, 2016 + recueil BP Cit’ergie

**Communauté d’Agglomération du Centre de la Martinique** (FBP Cit’ergie)

Communication énergie-climat durant les événements populaires

Le Carnaval et le Tour des Yoles ont été utilisées comme outil de communication et de sensibilisation et comme vecteur de la politique énergétique et de réduction des déchets.

→ Source : dossier de candidature Cit’ergie, 2014 + recueil BP Cit’ergie

**Grenoble**

Interdiction totale des publicités à travers toute la ville

→ Source : Fiche Climat Pratic – Thématique consommation éco-responsable – CR6","Ressources ADEME à destination du grand public :

[https://agirpourlatransition.ademe.fr/particuliers/](https://agirpourlatransition.ademe.fr/particuliers/)",6,,,"<p>Moins 1 point sans compétence publicité (correspondant à la sous-action 6.5.2.5 - Limiter l’emprise de la publicité).</p>
","Ne pas évaluer ici :

-   les conseils en matière de rénovation des bâtiments (6.2.3 et 6.2.4)
    
-   l’information et la promotion de la mobilité, traitées dans l’action 4.1.1 « Promouvoir et suivre les pratiques multimodales sur le territoire»
    
-   la formation et la sensibilisation des élus/agents de la collectivité (5.1.3 et 5.2.2 sur les éco-gestes et la commande publique)
    

Lien avec d’autres actions :

-   6.4.1 : Soutenir une agriculture et une alimentation plus durable
    
-   1.2.3 : Définir et mettre en œuvre la politique de prévention et de gestion des déchets
    
-   4.2.3 : Optimiser la logistique et la gestion des flux de marchandises sur le territoire
    
-   6.1.3 : Développer un plan de communication pour chaque cible du territoire
    

Labellisation unique ville-EPCI : l'évaluation sur le développement des circuits de proximité est à considérer à l'échelle intercommunale.

La sensibilisation n’est pas assurée forcément par la collectivité, elle peut l’être par d’autres structures de conseil (un espace conseil France Rénov, une association agréée de surveillance de la qualité de l’air, le CAUE, l’ADIL, une association environnementale, un conseiller médical en environnement intérieur (CMEI)).

IMPORTANT : dans tous les cas, mettre en évidence la manière dont la collectivité est particulièrement impliquée dans ces structures de conseil (financièrement, en termes de gouvernance ou de mise à disposition de moyens matériels, accueil de permanence, promotion...).",,,,,"si reponse(dev_eco_3, NON) alors 5/6 
","Pour une collectivité non responsable de la publicité et des enseignes, le statut de la tâche 6.5.2.5 est ""non concernée"" et le score de la 6.5.2 est réduit d'un point.",dev_eco_3,,,x
6.5.2.1,S'organiser en interne et localement pour sensibiliser les habitants,,,,,,10,bases,,,,,,,,,,,,
6.5.2.1.1,une personne au sein de la collectivité est spécifiquement chargée des actions de sensibilisation auprès des habitants et est formée aux questions de changement de comportement,,,,,,,,,,,,,,,,,,,
6.5.2.1.2,Définir un budget pour les actions de promotion des comportements éco-responsables des citoyens,"dont les achats, l'usage et la fin de vie de produits plus respectueux de l'environnement comme ceux porteurs de l'Ecolabel Européen",,,,,,,,,,,,,,,,,,
6.5.2.1.3,Dédier un lieu à la sensibilisation climat-air-énergie (il est visible et accessible),"Plus large que le volet ""rénovation"" étudié dans la mesure 6.2.3 et 6.2.4",,,,,,,,,,,,,,,,,,
6.5.2.2,"Informer et mobiliser les relais d’opinions (partis politiques, associations, ONG)",,,,,,10,bases,,,,,,,,,,,,
6.5.2.2.1,Les relais d'opinion connaissent les objectifs et les axes de la politique climat-air-énergie de la collectivité,,,,,,,,,,,,,,,,,,,
6.5.2.2.2,Convier les relais d'opinions aux groupes de travail,Ils sont identifiés comme soutiens voire porteurs potentiels de certaines actions de la collectivité.,,,,,,,,,,,,,,,,,,
6.5.2.2.3,"Le nombre d'associations environnementales est important, elles font des propositions constructives, régulières et sont soutenues par la collectivité (convention de partenariat, mise en place de forum des associations, etc.). En fonction du tissu associatif local, les relais d’opinions sont variés d’un territoire à l’autre.",,,,,,,,,,,,,,,,,,,
6.5.2.3,Sensibiliser les habitants sur l’éco-consommation et les éco-gestes,"-   Promotion de la consommation modérée de ressources énergétiques et matérielles
    
-   Promotion et information sur les produits plus respectueux de l'environnement (expositions, film, brochures, sites web...)
    
-   Des appels à projets ou des concours visant à diminuer les consommations d'énergie dans les ménages sont organisés (de type ""Famille à Energie Positive""), et notamment pour les copropriétés
    
-   La collectivité fait la promotion d'outils de calculs d'empreinte écologique, d'empreinte carbone ou d'identification de sources de pollution auprès des habitants et essaie de connaître le niveau d'utilisation de ces outils (par le biais du site de la collectivité par exemple)
    
-   La collectivité fait la promotion d’outils d’évaluation et de maîtrise du budget familial et fait la promotion des bénéfices à passer à une consommation responsable (AMAP, achats d’occasion, repair café, etc.) (économiques et autres (santé, environnement, social, développement économique local)
    
-   Suivi de ""foyers-témoins"" pour connaître les habitudes d'achats/de gestion des déchets/de consommations d'énergie et d'eau...
    
-   Développement d'opérations pilotes sur l'éco-consommation (ex : partenariat avec des enseignes du territoire sur l'affichage environnemental de certains produits, etc.)
    

D’autres actions de sensibilisation/animation sur le sujet des déchets ou de l’alimentation sont traitées plus en détail dans les mesures dédiées 1.2.3 et 6.4.1.",,,,,30,mise en œuvre,,,,,,,,,,,,
6.5.2.4,Montrer l’exemple lors des évènements,,,,,,20,mise en œuvre,,,,,,,,,,,,
6.5.2.4.1,"A l'occasion de manifestations ou à l'occasion de récompenses à des jeux ou objets ""promotionnels"", des objets incitant aux comportements éco-responsables sont privilégiés","par exemple : réducteurs de pression, lampes basses consommations, gilet fluo pour faire du vélo, produits (biens ou services) porteurs de l'Ecolabel Européen...",,,,,,,,,,,,,,,,,,
6.5.2.4.2,Mettre en place des “ponts” entre les différents postes de consommation,"Lors des manifestations pour une alimentation biologique et locale la collectivité promeut (ou invite les organisateurs à promouvoir) aussi les initiatives sur les économies d’énergie, etc. afin de favoriser une approche globale de la consommation responsable.",,,,,,,,,,,,,,,,,,
6.5.2.4.3,Réaliser de manière éco-responsable la tenue des évènements des relais d'opinions,"Par exemple : élaboration d'un guide par la collectivité, autorisation ou caution liées aux éco-gestes, relevé des consommations d'énergie et d'eau avant et après l'utilisation des locaux par les associations...",,,,,,,,,,,,,,,,,,
6.5.2.5,Limiter l’emprise de la publicité,,,,,,20,mise en œuvre,,,"reponse(dev_eco_3, NON)
",,,,,,,,,
6.5.2.5.1,Sensibiliser les habitants à travers des actions rapides et efficaces,Par exemple distribution généralisée d’autocollants « Stop Pub » avec le bulletin municipal,,,,,,,,,,,,,,,,,,
6.5.2.5.2,Faire respecter les obligations concernant les enseignes lumineuses et l'affichage par exemple en s’appuyant sur les associations locales pour vous accompagner dans le travail de recensement et de sensibilisation,,,,,,,,,,,,,,,,,,,
6.5.2.5.3,Mettre en place une taxe locale sur les enseignes et publicités extérieures (TPLE),,,,,,,,,,,,,,,,,,,
6.5.2.5.4,Devenir une ville sans publicité en instaurant une Zone de Publicité Restreinte,,,,,,,,,,,,,,,,,,,
6.5.2.5.5,Mettre en place un règlement local de publicité (RLP),,,,,,,,,,,,,,,,,,,
